incident_no|incident_code|date_reported|status_code|occurred|location_code|address|stolen_value|lost_value|narrative
500107|ACCIDENTS - P.D. H&R REPORTABLE|1/12/2005 13:55||between: 01/10/2005 16:00 and 01/11/2005 16:00||16th St. Y to Holdrege|0.00|0.00|
5000108|ACCIDENTS - P.D. H&R NOT REPORTABLE|1/12/2005 15:13||:||14th|0.00|0.00|
5000109|ASSAULT - NON DOMESTIC|1/12/2005 15:16||between: 12/17/2004 11:30 and 12/17/2004 12:00|Harper Hall|1150 North 14th St|0.00|0.00|
5000110|DISTURBANCE - OTHER|1/12/2005 15:25||between: 01/12/2005 15:27 and 01/12/2005 15:35|Burnett Hall|1220 T St|0.00|0.00|
5000116|MISC - OTHER|1/13/2005 0:56||Date: 01/13/2005 00:56||Q ST & N 17TH ST|0.00|0.00|
5000117|OUTSIDE - O.P.S. OTHER|1/13/2005 3:37||Date: 01/13/2005 03:37||601 South 32nd|0.00|0.00|
5000119|LARCENY - FROM BUILDING|1/13/2005 11:03||between: 01/12/2005 15:00 and 01/13/2005 08:00|Selleck Quad|600 North 15th St|100.00|0.00|
5000120|MEDICAL EMERGENCY|1/13/2005 11:25||between: 01/13/2005 11:25 and 01/13/2005 11:25|Cather Hall|609 North 17th St|0.00|0.00|
5000122|MEDICAL EMERGENCY|1/13/2005 13:50||Date: 01/13/2005 13:50|Bob Devaney Sports Center|1600 Court St|0.00|0.00|
5000125|LOST OR STOLEN ITEM|1/13/2005 16:52||between: 01/13/2005 10:30 and 01/13/2005 14:30|Andrews Hall|625 North 14th St|300.00|0.00|
5000129|FIRE (WORKING) - ALARM|1/13/2005 23:39||Date: 01/13/2005 23:39||601 North 16th|0.00|0.00|
5000133|ALCOHOL - DRUNK|1/14/2005 1:39||Date: 01/14/2005 01:39||14th/Avery - Holdrege|0.00|0.00|
5000134|ASSAULT - NON DOMESTIC|1/14/2005 2:12||Date: 01/14/2005 01:25|14th & Avery Parking Garage|1111 North 14th St|0.00|0.00|
5000136|ACCIDENTS - P.D. NOT REPORTABLE|1/14/2005 8:09||Date: 01/14/2005 08:47|Nebraska Hall|900 North 16th St|0.00|0.00|
5000140|LOST OR STOLEN ITEM|1/14/2005 20:03||between: 01/14/2005 07:30 and 01/14/2005 11:30|||50.00|0.00|
5000142|LOST OR STOLEN ITEM|1/14/2005 21:58||between: 01/14/2005 14:30 and 01/14/2005 17:00||Unknown|0.00|0.00|
5000143|NARCOTICS - POSSESSION|1/15/2005 0:39||between: 01/14/2005 22:40 and 01/14/2005 22:40|Selleck Quad|600 North 15th St|0.00|0.00|
5000145|ALCOHOL - MINOR IN POSSESSION|1/15/2005 1:33||between: 01/14/2005 23:41 and 01/14/2005 23:41|Kauffman Hall|630 North 14th St|0.00|0.00|
5000146|ALCOHOL - DWI|1/15/2005 3:39||between: 01/15/2005 02:26 and 01/15/2005 02:26|||0.00|0.00|
5000148|ALCOHOL - DRUNK|1/15/2005 6:07||Date: 01/15/2005 06:07|Selleck Quad|600 North 15th St|0.00|0.00|
5000149|MEDICAL EMERGENCY|1/15/2005 12:21||between: 01/15/2005 12:21 and 01/15/2005 12:30|Bob Devaney Sports Center|1600 Court St|0.00|0.00|
5000158|ASSAULT - NON DOMESTIC|1/16/2005 0:56||Date: 01/16/2005 00:56|Nebraska Union|1400 R St|0.00|0.00|
5000159|ALCOHOL - MINOR IN POSSESSION|1/16/2005 4:23||between: 01/16/2005 01:36 and 01/16/2005 01:36|||0.00|0.00|
5000169|ALCOHOL - MINOR IN POSSESSION|1/17/2005 2:06||between: 01/17/2005 02:06 and 01/17/2005 02:06|||0.00|0.00|
5000174|ACCIDENTS - P.D. NOT REPORTABLE|1/17/2005 16:23||Date: 01/17/2005 16:19|17 & R Parking Garage|300 North 17th St|0.00|0.00|
5000177|BURGLARY|1/17/2005 20:56||between: 01/15/2005 00:00 and 01/17/2005 10:30|Oldfather Hall|660 North 12th St|300.00|0.00|
5000178|OUTSIDE - O.P.S. OTHER|1/18/2005 0:39||between: 01/18/2005 00:39 and 01/18/2005 00:39||HUNTINGTON AVE & N 33RD ST|0.00|0.00|
5000180|LARCENY - GAS FROM SELF SERVICE PUMP|1/18/2005 7:44||Date: 01/18/2005 07:44||1540 P St.|33.10|0.00|
5000181|LOST OR STOLEN ITEM|1/18/2005 9:59||between: 01/10/2005 07:30 and 01/12/2005 16:00||City of Lincoln|100.00|0.00|
5000184|MEDICAL EMERGENCY|1/18/2005 11:49||Date: 01/18/2005 11:49|Fairfield Hall|1545 U St|0.00|0.00|
5000185|ACCIDENTS - P.D. H&R NOT REPORTABLE|1/18/2005 12:17||between: 01/18/2005 08:00 and 01/18/2005 11:50||Area 20 Animal Science|0.00|0.00|
5000186|LOST OR STOLEN ITEM|1/18/2005 12:40||between: 01/14/2005 22:30 and 01/15/2005 14:00||City of Lincoln|150.00|0.00|
5000188|ACCIDENTS - P.D. H&R NOT REPORTABLE|1/18/2005 17:11||between: 01/18/2005 08:00 and 01/18/2005 17:10|Varner Hall|3835 Holdrege|0.00|0.00|
5000191|VANDALISM - OTHER|1/18/2005 19:01||between: 01/18/2005 10:30 and 01/18/2005 17:45||N 146TH ST & N 14TH ST|0.00|280.00|
5000192|VANDALISM - OTHER|1/18/2005 19:25||between: 01/18/2005 09:45 and 01/18/2005 10:00||N 146TH ST & N 14TH ST|0.00|80.00|
5000193|BURGLARY|1/18/2005 22:08||between: 01/18/2005 14:30 and 01/18/2005 18:45|Abel Hall|860 North 17th St|70.00|0.00|
5000194|NARCOTICS - POSSESSION|1/19/2005 1:24||between: 01/19/2005 01:24 and 01/19/2005 01:24||R ST & N 17TH ST|0.00|0.00|
5000195|NARCOTICS - POSSESSION|1/19/2005 3:53||Date: 01/19/2005 03:53||1140 N 14th Parking Lot|0.00|0.00|
5000200|LARCENY - MOTOR VEH. ACCESSORIES|1/19/2005 10:11||between: 11/19/2004 10:36 and 01/07/2005 10:36|Transportation Services|1931 North 14th St|240.00|0.00|
5000201|ACCIDENTS - P.D. REPORTABLE|1/19/2005 11:31||Date: 01/19/2005 11:28||South Stadium Parking Lot|0.00|0.00|
5000203|LARCENY - OTHER OR FROM OPEN AREA|1/19/2005 13:01||between: 01/18/2005 09:00 and 01/18/2005 17:00|||175.00|0.00|
5000206|ACCIDENTS - P.D. REPORTABLE|1/19/2005 17:53||between: 01/19/2005 17:43 and 01/19/2005 17:43||Staduim Drive and "T" St.|0.00|0.00|
5000207|NARCOTICS - POSSESSION|1/19/2005 21:57||Date: 01/19/2005 21:57|Harper Hall|1150 North 14th St|0.00|0.00|
5000209|ACCIDENTS - P.D. NOT REPORTABLE|1/20/2005 14:07||between: 01/20/2005 12:50 and 01/20/2005 12:55|Walter Scott Engineering Center|844 North 16th St|0.00|0.00|
5000210|LARCENY - FROM BUILDING|1/20/2005 16:56||between: 01/20/2005 12:30 and 01/20/2005 16:50|Nebraska Union|1400 "R" Street|40.00|0.00|
5000212|ACCIDENTS - P.D. REPORTABLE|1/20/2005 19:42||between: 01/20/2005 19:35 and 01/20/2005 19:42||15th and "S" Street UNL Meter Parking Lot|0.00|0.00|
5000215|ALCOHOL - MINOR IN POSSESSION|1/20/2005 22:59||between: 01/20/2005 22:59 and 01/20/2005 23:12|Harper Hall|1150 North 14th St|0.00|0.00|
5000216|MEDICAL EMERGENCY|1/21/2005 0:37||between: 01/21/2005 00:37 and 01/21/2005 00:37|Sandoz Hall|820 North 17th St|0.00|0.00|
5000217|MISC - OTHER|1/21/2005 0:56||Date: 01/21/2005 00:56|Andersen Hall|200 Centennial Mall North|0.00|0.00|
5000218|ALCOHOL - DWI|1/21/2005 1:18||Date: 01/21/2005 01:18||26th/'U' St|0.00|0.00|
5000219|DISTURBANCE - OTHER|1/21/2005 7:00||between: 01/21/2005 01:00 and 01/21/2005 01:10|Smith Hall|1120 North 14th St|0.00|0.00|
5000220|ACCIDENTS - P.D. H&R REPORTABLE|1/21/2005 10:03||between: 01/20/2005 16:30 and 01/20/2005 16:55||11th and Q St., parking stalls|0.00|0.00|
5000232|BURGLARY|1/21/2005 17:39||between: 01/21/2005 13:30 and 01/21/2005 16:30|Temple Building|1201 R St|0.00|0.00|
5000234|LOST OR STOLEN ITEM|1/21/2005 18:44||between: 01/21/2005 13:30 and 01/21/2005 17:30|Burnett Hall|1220 T St|20.00|0.00|
5000235|WEAPONS – OTHER|1/21/2005 20:32||between: 01/21/2005 20:32 and 01/21/2005 20:32||14th|0.00|0.00|
5000242|ALCOHOL - MINOR IN POSSESSION|1/22/2005 1:40||Date: 01/22/2005 01:32||Y ST|0.00|0.00|
5000245|SS - CHECK WELFARE OF PERSON|1/22/2005 5:51||Date: 01/22/2005 05:51|Schramm Hall|1130 North 14th St|0.00|0.00|
5000249|MEDICAL EMERGENCY|1/22/2005 18:14||between: 01/22/2005 18:14 and 01/22/2005 18:14|Utility Plant, East|1901 N. 37th Street|0.00|0.00|
5000255|ALCOHOL - DRUNK|1/23/2005 0:51||Date: 01/23/2005 00:51|Schramm Hall|1130 North 14th St|0.00|0.00|
5000256|VANDALISM - OTHER|1/23/2005 1:24||between: 01/22/2005 21:30 and 01/23/2005 00:30||601 N. 16th St|0.00|450.00|
5000257|ASSAULT - NON DOMESTIC|1/23/2005 2:01||between: 01/23/2005 01:50 and 01/23/2005 02:01||1433 R St|0.00|0.00|
5000264|MISC - OTHER|1/23/2005 19:57||Date: 01/23/2005 19:40|Hamilton Hall|639 N 12th|0.00|0.00|
5000265|ACCIDENTS - P.D. H&R REPORTABLE|1/23/2005 19:58||between: 01/20/2005 18:30 and 01/23/2005 19:50||UNL Parking Lot 860 N. 17th Street|0.00|0.00|
5000268|MEDICAL EMERGENCY|1/24/2005 10:54||Date: 01/24/2005 10:54||2101|0.00|0.00|
5000270|MISC - OTHER|1/24/2005 13:06||between: 12/24/2004 00:24 and 01/20/2005 10:36|Miller Hall||0.00|0.00|
5000271|ACCIDENTS - P.D. NOT REPORTABLE|1/24/2005 13:50||Date: 01/21/2005 23:30||N 146TH ST & N 14TH ST|0.00|0.00|
5000275|VANDALISM - OTHER|1/24/2005 16:14||between: 01/23/2005 00:30 and 01/23/2005 11:30||17th and R UNL parking lot|0.00|0.00|
5000286|LARCENY - FROM BUILDING|1/25/2005 8:03||between: 01/14/2005 06:00 and 01/21/2005 14:00|Oldfather Hall|660 North 12th St|6995.00|0.00|
5000288|MEDICAL EMERGENCY|1/25/2005 9:29||between: 01/25/2005 09:29 and 01/25/2005 09:29|University Health Center|1500 U St|0.00|0.00|
5000290|FIRE (WORKING) - ALARM|1/25/2005 10:41||between: 01/25/2005 10:41 and 01/25/2005 10:41|Smith Hall|1120 North 14th St|0.00|0.00|
5000291|LOST OR STOLEN ITEM|1/25/2005 14:36||between: 01/21/2005 09:30 and 01/22/2005 17:00|Campus Recreation Center|841 North 14th St|0.00|0.00|
5000296|LOST OR STOLEN ITEM|1/25/2005 22:20||between: 01/25/2005 16:00 and 01/25/2005 19:00|||60.00|0.00|
5000298|TRESPASSING|1/25/2005 23:50||between: 01/25/2005 23:50 and 01/25/2005 23:50|Love Library North|1248 R St.|0.00|0.00|
5000305|LARCENY - FROM MOTOR VEHICLE|1/26/2005 17:05||between: 01/24/2005 17:30 and 01/25/2005 17:30||Area 3 UNL Parking Lot|14.00|0.00|
5000308|VANDALISM - OTHER|1/26/2005 18:38||between: 01/23/2005 00:00 and 01/26/2005 18:38||1601 "R" St.|0.00|10.00|
5000309|BURGLARY|1/26/2005 19:14||between: 01/11/2005 17:00 and 01/26/2005 17:00|Schramm Hall|1130 North 14th St|2520.00|0.00|
5000312|ACCIDENTS - P.D. NOT REPORTABLE|1/26/2005 22:29||Date: 01/26/2005 22:29||W ST & N 27TH ST|0.00|100.00|
5000313|ALCOHOL - DWI|1/27/2005 1:53||between: 01/27/2005 01:53 and 01/27/2005 01:53||VINE ST & N 26TH ST|0.00|0.00|
5000317|LARCENY - FROM BUILDING|1/27/2005 11:46||between: 01/03/2005 08:00 and 01/14/2005 17:00|College of Business Admin.|512 North 12th St|150.00|0.00|
5000319|SUSPICIOUS PERSON|1/27/2005 14:23||between: 01/24/2005 01:30 and 01/24/2005 01:40|Architecture Hall|402 Stadium Dr|0.00|0.00|
5000320|ALCOHOL - DRUNK|1/27/2005 14:44||between: 01/27/2005 14:44 and 01/27/2005 14:44||HOLDREGE ST & N 27TH ST|0.00|0.00|
5000321|ACCIDENTS - P.D. H&R REPORTABLE|1/27/2005 17:08||between: 01/27/2005 08:30 and 01/27/2005 17:00||200 N. Centennial Mall|0.00|0.00|
5000322|ACCIDENTS - P.D. H&R REPORTABLE|1/27/2005 17:22||between: 01/26/2005 07:40 and 01/27/2005 17:22||200 Centennial Mall North|0.00|0.00|
5000324|DISTURBANCE - OTHER|1/27/2005 21:34||between: 01/10/2005 00:00 and 01/27/2005 00:00|Schramm Hall|1130 N 14th|0.00|0.00|
5000326|ALCOHOL - DRUNK|1/28/2005 1:36||Date: 01/28/2005 01:36|Selleck Quad|600 North 15th St|0.00|0.00|
5000330|MISC - OTHER|1/28/2005 12:11||between: 01/28/2005 00:01 and 01/28/2005 11:00|Abel Hall|860 North 17th St|0.00|0.00|
5000331|TRESPASSING|1/28/2005 13:16||between: 01/28/2005 13:16 and 01/28/2005 13:16|Architecture Hall|402 Stadium Dr|0.00|0.00|
5000332|LARCENY - STOLEN BIKE|1/28/2005 15:43|Inactive|between: 12/17/2004 00:00 and 01/12/2005 00:00|||100.00|0.00|
5000335|MEDICAL EMERGENCY|1/28/2005 23:25||between: 01/28/2005 23:20 and 01/28/2005 23:25||1433 'R' St - Alpha Tau Omega|0.00|0.00|
5000338|ALCOHOL - DWI|1/29/2005 4:33||Date: 01/29/2005 04:33|||0.00|0.00|
5000343|VANDALISM - OTHER|1/29/2005 15:36||between: 01/28/2005 16:30 and 01/29/2005 15:36||19th R-Vine parking lot|0.00|0.00|
5000340|MISC - OTHER|1/29/2005 16:40||between: 01/28/2005 09:30 and 01/29/2005 16:40|501 Building|501 Stadium Dr|0.00|0.00|
5000344|ALCOHOL - MINOR IN POSSESSION|1/30/2005 0:33||between: 01/30/2005 00:33 and 01/30/2005 00:33|Sandoz Hall|820 N. 17th Street|0.00|0.00|
5000346|OUTSIDE - O.P.S. OTHER|1/30/2005 3:07||between: 01/30/2005 02:00 and 01/30/2005 02:30|||0.00|0.00|
5000351|FIRE - FALSE ALARM|1/30/2005 19:44||between: 01/30/2005 19:44 and 01/30/2005 20:47|Schramm Hall|1130 N14|0.00|100.00|
5000356|ALCOHOL - DWI|1/31/2005 1:11||between: 01/31/2005 05:03 and 01/31/2005 05:03||17th/R-Vine|0.00|0.00|
5000359|TRAFFIC - OTHER|1/31/2005 2:32||between: 01/31/2005 02:32 and 01/31/2005 02:32||14th and New Hampshire Lot|0.00|0.00|
5000360|LARCENY - OTHER OR FROM OPEN AREA|1/31/2005 9:29||between: 11/18/2004 07:00 and 01/31/2005 07:00|Entomology Hall|1700 East Camp Mall|0.00|0.00|
5000361|ACCIDENTS - P.D. H&R NOT REPORTABLE|1/31/2005 10:05||between: 12/17/2004 17:00 and 01/03/2005 09:00||W ST & N 17TH ST|0.00|0.00|
5000362|FRAUD - CREDIT CARDS/ATM/BANK CARD|1/31/2005 13:24||between: 01/26/2005 14:45 and 01/26/2005 14:45|Ross Van Brunt Building|313 North 13th St|0.00|0.00|
5000363|LARCENY - STOLEN BIKE|1/31/2005 13:47||between: 01/27/2005 17:00 and 01/28/2005 02:00|Nebraska Union|1400 R St|700.00|0.00|
5000364|ACCIDENTS - P.D. H&R NOT REPORTABLE|1/31/2005 14:00||between: 01/27/2005 17:30 and 01/28/2005 21:00||VINE ST & N 18TH ST|0.00|0.00|
5000368|DISTURBANCE - OTHER|1/31/2005 17:10||between: 01/31/2005 17:05 and 01/31/2005 17:10|Abel Hall|860 North 17th St|0.00|0.00|
5000370|LARCENY - FROM MOTOR VEHICLE|1/31/2005 18:18||between: 01/26/2005 11:30 and 01/29/2005 15:47||Beadle Center Parking lot|150.00|0.00|
5000372|TRAFFIC - SUSPENDED DRIVER|2/1/2005 0:22||between: 02/01/2005 00:22 and 02/01/2005 00:22||T ST & N 33RD ST|0.00|0.00|
5000373|TRESPASSING|2/1/2005 8:54||between: 02/01/2005 08:44 and 02/01/2005 08:54|Behlen Physics Lab|500 Stadium Dr|0.00|0.00|
5000375|ACCIDENTS - P.D. REPORTABLE|2/1/2005 11:00||Date: 02/01/2005 11:00|||0.00|0.00|
5000377|LARCENY - FROM BUILDING|2/1/2005 14:15||between: 02/01/2005 09:55 and 02/01/2005 11:00|Mabel Lee Hall|840 North 14th St|80.00|0.00|
5000384|ALCOHOL - DRUNK|2/2/2005 1:20||between: 02/02/2005 01:20 and 02/02/2005 01:20||10th and Avery pedestrain bridge|0.00|0.00|
5000394|ALCOHOL - DWI|2/3/2005 0:08||between: 02/03/2005 00:08 and 02/03/2005 00:08||Q ST & N 16TH ST|0.00|0.00|
5000397|ALCOHOL - DWI|2/3/2005 2:01||Date: 02/03/2005 02:01||VINE ST & N 27TH ST|0.00|0.00|
5000400|MEDICAL EMERGENCY|2/3/2005 9:54||between: 02/03/2005 09:54 and 02/03/2005 09:54|Plant Sciences Hall|1875 North 38th St|0.00|0.00|
5000401|VANDALISM - OTHER|2/3/2005 12:41||between: 01/28/2005 08:00 and 01/28/2005 23:59|Beadle Center|1901 Vine St|0.00|1000.00|
5000402|VANDALISM - BY GRAFFITI|2/3/2005 17:01||between: 02/02/2005 16:30 and 02/03/2005 17:01|Teachers College Hall|1400 Vine St|0.00|20.00|
5000405|LOST OR STOLEN ITEM|2/3/2005 17:30||between: 02/03/2005 17:00 and 02/03/2005 17:15||City of Grand Island|0.00|0.00|
5000408|ALCOHOL - DWI|2/3/2005 23:57||Date: 02/03/2005 23:57||N 17TH ST|0.00|0.00|
5000410|WEAPONS - CONCEALED|2/4/2005 2:46||Date: 02/04/2005 02:46||S ST & N 16TH ST|0.00|0.00|
5000409|ALCOHOL - DWI|2/4/2005 2:46||Date: 02/04/2005 02:46||Y Street Connector|0.00|0.00|
5000415|MEDICAL EMERGENCY|2/4/2005 11:31||between: 02/04/2005 11:31 and 02/04/2005 11:31|Campus Recreation Center|841 North 14th St|0.00|0.00|
5000424|PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC|2/4/2005 20:11||between: 02/04/2005 20:00 and 02/04/2005 20:11||1540 Vine Street|0.00|0.00|
5000427|BURGLARY|2/4/2005 23:24||between: 02/04/2005 22:20 and 02/04/2005 22:30|Abel Hall|860 North 17th St|46002.00|0.00|
5000428|MEDICAL EMERGENCY|2/5/2005 0:50||between: 02/05/2005 00:50 and 02/05/2005 00:50||733 N. 17th|0.00|0.00|
5000432|ALCOHOL - DRUNK|2/5/2005 2:02||between: 02/05/2005 02:02 and 02/05/2005 02:02||16 th & W|0.00|0.00|
5000433|ACCIDENTS - P.D. NOT REPORTABLE|2/5/2005 9:21||Date: 02/05/2005 09:21||COURT ST & N 17TH ST|0.00|0.00|
5000440|ALCOHOL - DRUNK|2/5/2005 17:37||between: 02/05/2005 17:30 and 02/05/2005 17:37|Nebraska Union|1400 R St|0.00|0.00|
5000446|ARSON|2/6/2005 0:28||Date: 02/06/2005 00:28||635 N.16th|0.00|0.00|
5000448|ALCOHOL - DWI|2/6/2005 2:10||between: 02/06/2005 02:10 and 02/06/2005 02:10||VINE ST & N 17TH ST|0.00|0.00|
5000449|ALCOHOL - MINOR IN POSSESSION|2/6/2005 6:02||between: 02/06/2005 04:59 and 02/06/2005 04:59|14th & Avery Parking Garage|1111 N. 14th Street|0.00|0.00|
5000460|ACCIDENTS - P.D. REPORTABLE|2/7/2005 11:54||between: 02/07/2005 11:50 and 02/07/2005 11:54|14th & Avery Parking Garage|1111 North 14th St|0.00|0.00|
5000462|ACCIDENTS - P.D. H&R REPORTABLE|2/7/2005 14:36||Date: 02/07/2005 14:20||820 N 17th|0.00|0.00|
5000472|LARCENY - OTHER OR FROM OPEN AREA|2/8/2005 8:54||between: 02/07/2005 19:30 and 02/08/2005 08:00||R ST & N 13TH ST|680.00|0.00|
5000473|LARCENY - FROM BUILDING|2/8/2005 9:37||between: 01/30/2004 10:57 and 01/06/2005 10:57|Agricultural Hall|3550 East Camp Loop|40694.30|0.00|
5000470|BURGLARY|2/8/2005 10:25||between: 02/03/2005 17:00 and 02/04/2005 07:30|Agricultural Hall|3550 East Camp Loop|5000.00|0.00|
5000474|LARCENY - FROM MOTOR VEHICLE|2/8/2005 11:03||between: 02/08/2005 09:15 and 02/08/2005 10:55||S ST & N 19TH ST|756.00|0.00|
5000475|VANDALISM - OTHER|2/8/2005 12:47|Cleared by Arrest|between: 02/03/2005 21:00 and 02/04/2005 09:30||N 146TH ST & N 14TH ST|0.00|1000.00|
5000482|LARCENY - FROM BUILDING|2/8/2005 17:19||Date: 02/08/2005 18:30|College of Dentistry|3975 Potter St|30.00|0.00|
5000483|LARCENY - FROM MOTOR VEHICLE|2/8/2005 19:15||between: 02/08/2005 09:20 and 02/08/2005 19:00||UNL Parking Lot - Green Area|620.00|0.00|
5000487|ACCIDENTS - P.D. REPORTABLE|2/9/2005 8:35||Date: 02/09/2005 08:30|Landscape Services|3520 East Campus Loop|0.00|0.00|
5000488|MISC - OTHER|2/9/2005 12:33||Date: 02/07/2005 15:00||129 N. 10th Suite 206|0.00|0.00|
5000494|TRESPASSING|2/10/2005 1:30||between: 02/10/2005 01:30 and 02/10/2005 01:30|Mabel Lee Hall|840 North 14th St|0.00|0.00|
5000496|TRESPASSING|2/10/2005 6:02||between: 02/10/2005 06:02 and 02/10/2005 06:02|Ferguson Hall|1130 S St|0.00|0.00|
5000497|LOST OR STOLEN ITEM|2/10/2005 9:44||between: 02/08/2005 21:00 and 02/08/2005 21:10|||40.00|0.00|
5000498|LOST OR STOLEN ITEM|2/10/2005 13:50||between: 02/02/2005 07:00 and 02/03/2005 07:00|Andrews Hall|625 North 14th St|0.00|0.00|
5000502|LARCENY - FROM MOTOR VEHICLE|2/10/2005 20:12||between: 02/10/2005 19:00 and 02/10/2005 20:12||FAIR ST & N 37TH ST|1000.00|250.00|
5000503|LARCENY - FROM MOTOR VEHICLE|2/10/2005 20:38||between: 02/10/2005 12:30 and 02/10/2005 20:30|||50.00|710.00|
5000504||2/10/2005 21:00||between: 02/10/2005 18:45 and 02/10/2005 20:45|||380.00|0.00|
5000507|ALCOHOL - MINOR IN POSSESSION|2/10/2005 22:38||between: 02/10/2005 22:38 and 02/10/2005 22:38|Abel Hall|860 North 17th St|0.00|0.00|
5000509|ALCOHOL - DRUNK|2/11/2005 1:38||between: 02/11/2005 01:38 and 02/11/2005 01:38||625 N. 16th|0.00|0.00|
5000510|ALCOHOL - MINOR IN POSSESSION|2/11/2005 2:09||between: 02/11/2005 02:09 and 02/11/2005 02:09||Y ST & N 16TH ST|0.00|0.00|
5000511|VANDALISM - OTHER|2/11/2005 3:24||between: 02/11/2005 03:24 and 02/11/2005 03:24|Abel Hall|860 North 17th St|0.00|0.00|
5000512|ACCIDENTS - P.D. NOT REPORTABLE|2/11/2005 8:44||Date: 02/11/2005 08:44||701 N. 10 St.|0.00|0.00|
5000514|LARCENY - FROM BUILDING|2/11/2005 9:13||between: 02/04/2005 15:00 and 02/10/2005 12:00|Henzlik Hall|1430 Vine St|1600.00|0.00|
5000521||2/11/2005 15:54|Inactive|between: 02/11/2005 14:15 and 02/11/2005 15:00|Abel Hall|860 North 17th|197.00|0.00|
5000522|LOST OR STOLEN ITEM|2/11/2005 16:00||between: 02/11/2005 10:30 and 02/11/2005 12:30|College of Business Admin.|512 North 12th St|194.00|0.00|
